,estimator,mean_score,max_score,std_score,alpha,hidden_layer_sizes,max_iter,random_state,solver,min_score
84,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,0.01,13,5,0,lbfgs,0.42024539877300615
134,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,0.001,13,5,0,lbfgs,0.42024539877300615
34,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,0.1,13,5,0,lbfgs,0.42024539877300615
184,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,0.0001,13,5,0,lbfgs,0.42024539877300615
384,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,1e-08,13,5,0,lbfgs,0.42024539877300615
334,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,1e-07,13,5,0,lbfgs,0.42024539877300615
284,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,1e-06,13,5,0,lbfgs,0.42024539877300615
434,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,1e-09,13,5,0,lbfgs,0.42024539877300615
234,MLPClassifier,0.44527412473403843,0.4744897959183674,0.021533036851911234,1e-05,13,5,0,lbfgs,0.42024539877300615
430,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-09,13,1,0,lbfgs,0.4274028629856851
332,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-07,13,3,0,lbfgs,0.4274028629856851
230,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-05,13,1,0,lbfgs,0.4274028629856851
80,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.01,13,1,0,lbfgs,0.4274028629856851
432,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-09,13,3,0,lbfgs,0.4274028629856851
82,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.01,13,3,0,lbfgs,0.4274028629856851
32,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.1,13,3,0,lbfgs,0.4274028629856851
330,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-07,13,1,0,lbfgs,0.4274028629856851
30,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.1,13,1,0,lbfgs,0.4274028629856851
182,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.0001,13,3,0,lbfgs,0.4274028629856851
180,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.0001,13,1,0,lbfgs,0.4274028629856851
232,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-05,13,3,0,lbfgs,0.4274028629856851
280,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-06,13,1,0,lbfgs,0.4274028629856851
130,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.001,13,1,0,lbfgs,0.4274028629856851
132,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,0.001,13,3,0,lbfgs,0.4274028629856851
382,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-08,13,3,0,lbfgs,0.4274028629856851
380,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-08,13,1,0,lbfgs,0.4274028629856851
282,MLPClassifier,0.4487406038380156,0.4683673469387755,0.015235814149824122,1e-06,13,3,0,lbfgs,0.4274028629856851
413,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,1e-09,11,3,1,lbfgs,0.4377551020408163
313,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,1e-07,11,3,1,lbfgs,0.4377551020408163
363,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,1e-08,11,3,1,lbfgs,0.4377551020408163
113,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,0.001,11,3,1,lbfgs,0.4377551020408163
13,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,0.1,11,3,1,lbfgs,0.4377551020408163
163,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,0.0001,11,3,1,lbfgs,0.4377551020408163
213,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,1e-05,11,3,1,lbfgs,0.4377551020408163
63,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,0.01,11,3,1,lbfgs,0.4377551020408163
263,MLPClassifier,0.4534490961165615,0.46279306829765543,0.008957441200567951,1e-06,11,3,1,lbfgs,0.4377551020408163
377,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,1e-08,12,7,1,lbfgs,0.186734693877551
277,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,1e-06,12,7,1,lbfgs,0.186734693877551
327,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,1e-07,12,7,1,lbfgs,0.186734693877551
27,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,0.1,12,7,1,lbfgs,0.186734693877551
77,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,0.01,12,7,1,lbfgs,0.186734693877551
427,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,1e-09,12,7,1,lbfgs,0.186734693877551
177,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,0.0001,12,7,1,lbfgs,0.186734693877551
127,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,0.001,12,7,1,lbfgs,0.186734693877551
227,MLPClassifier,0.3331162489197852,0.4621676891615542,0.10776906802061002,1e-05,12,7,1,lbfgs,0.186734693877551
123,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.001,12,3,1,lbfgs,0.4459183673469388
421,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-09,12,1,1,lbfgs,0.4459183673469388
423,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-09,12,3,1,lbfgs,0.4459183673469388
71,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.01,12,1,1,lbfgs,0.4459183673469388
73,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.01,12,3,1,lbfgs,0.4459183673469388
223,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-05,12,3,1,lbfgs,0.4459183673469388
173,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.0001,12,3,1,lbfgs,0.4459183673469388
371,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-08,12,1,1,lbfgs,0.4459183673469388
171,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.0001,12,1,1,lbfgs,0.4459183673469388
373,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-08,12,3,1,lbfgs,0.4459183673469388
221,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-05,12,1,1,lbfgs,0.4459183673469388
121,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.001,12,1,1,lbfgs,0.4459183673469388
23,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.1,12,3,1,lbfgs,0.4459183673469388
321,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-07,12,1,1,lbfgs,0.4459183673469388
271,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-06,12,1,1,lbfgs,0.4459183673469388
273,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-06,12,3,1,lbfgs,0.4459183673469388
323,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,1e-07,12,3,1,lbfgs,0.4459183673469388
21,MLPClassifier,0.44855154023861665,0.450920245398773,0.0015906546077637303,0.1,12,1,1,lbfgs,0.4459183673469388
159,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,0.0001,10,9,1,lbfgs,0.44852191641182465
359,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,1e-08,10,9,1,lbfgs,0.44852191641182465
59,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,0.01,10,9,1,lbfgs,0.44852191641182465
409,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,1e-09,10,9,1,lbfgs,0.44852191641182465
259,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,1e-06,10,9,1,lbfgs,0.44852191641182465
209,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,1e-05,10,9,1,lbfgs,0.44852191641182465
109,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,0.001,10,9,1,lbfgs,0.44852191641182465
9,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,0.1,10,9,1,lbfgs,0.44852191641182465
309,MLPClassifier,0.44895928615907066,0.4498977505112474,0.0005041375572867028,1e-07,10,9,1,lbfgs,0.44852191641182465
150,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.0001,10,1,0,lbfgs,0.44852191641182465
126,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,0.001,12,7,0,lbfgs,0.003067484662576687
91,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.01,14,1,1,lbfgs,0.44852191641182465
300,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-07,10,1,0,lbfgs,0.44852191641182465
326,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,1e-07,12,7,0,lbfgs,0.003067484662576687
391,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-08,14,1,1,lbfgs,0.44852191641182465
291,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-06,14,1,1,lbfgs,0.44852191641182465
376,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,1e-08,12,7,0,lbfgs,0.003067484662576687
276,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,1e-06,12,7,0,lbfgs,0.003067484662576687
278,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,1e-06,12,9,0,lbfgs,0.25664621676891614
100,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.001,10,1,0,lbfgs,0.44852191641182465
378,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,1e-08,12,9,0,lbfgs,0.25664621676891614
141,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.001,14,1,1,lbfgs,0.44852191641182465
400,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-09,10,1,0,lbfgs,0.44852191641182465
441,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-09,14,1,1,lbfgs,0.44852191641182465
226,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,1e-05,12,7,0,lbfgs,0.003067484662576687
128,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,0.001,12,9,0,lbfgs,0.25664621676891614
426,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,1e-09,12,7,0,lbfgs,0.003067484662576687
176,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,0.0001,12,7,0,lbfgs,0.003067484662576687
76,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,0.01,12,7,0,lbfgs,0.003067484662576687
428,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,1e-09,12,9,0,lbfgs,0.25664621676891614
350,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-08,10,1,0,lbfgs,0.44852191641182465
50,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.01,10,1,0,lbfgs,0.44852191641182465
228,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,1e-05,12,9,0,lbfgs,0.25664621676891614
341,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-07,14,1,1,lbfgs,0.44852191641182465
200,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-05,10,1,0,lbfgs,0.44852191641182465
241,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-05,14,1,1,lbfgs,0.44852191641182465
328,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,1e-07,12,9,0,lbfgs,0.25664621676891614
41,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.1,14,1,1,lbfgs,0.44852191641182465
0,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.1,10,1,0,lbfgs,0.44852191641182465
250,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,1e-06,10,1,0,lbfgs,0.44852191641182465
178,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,0.0001,12,9,0,lbfgs,0.25664621676891614
191,MLPClassifier,0.44875478718156553,0.4489795918367347,0.00019391751591658842,0.0001,14,1,1,lbfgs,0.44852191641182465
26,MLPClassifier,0.33084580486103377,0.4489795918367347,0.1727837095226638,0.1,12,7,0,lbfgs,0.003067484662576687
28,MLPClassifier,0.4094934850171283,0.4489795918367347,0.07644233371743836,0.1,12,9,0,lbfgs,0.25664621676891614
78,MLPClassifier,0.4103089794106044,0.4489795918367347,0.07683160242706479,0.01,12,9,0,lbfgs,0.25664621676891614
207,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,1e-05,10,7,1,lbfgs,0.4387755102040816
212,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,1e-05,11,3,0,lbfgs,0.4383282364933741
312,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,1e-07,11,3,0,lbfgs,0.4383282364933741
208,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,1e-05,10,9,0,lbfgs,0.4316326530612245
262,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,1e-06,11,3,0,lbfgs,0.4383282364933741
357,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,1e-08,10,7,1,lbfgs,0.4387755102040816
358,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,1e-08,10,9,0,lbfgs,0.4316326530612245
258,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,1e-06,10,9,0,lbfgs,0.4316326530612245
257,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,1e-06,10,7,1,lbfgs,0.4387755102040816
162,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,0.0001,11,3,0,lbfgs,0.4383282364933741
362,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,1e-08,11,3,0,lbfgs,0.4383282364933741
157,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,0.0001,10,7,1,lbfgs,0.4387755102040816
158,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,0.0001,10,9,0,lbfgs,0.4316326530612245
308,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,1e-07,10,9,0,lbfgs,0.4316326530612245
307,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,1e-07,10,7,1,lbfgs,0.4387755102040816
57,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,0.01,10,7,1,lbfgs,0.4387755102040816
407,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,1e-09,10,7,1,lbfgs,0.4387755102040816
412,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,1e-09,11,3,0,lbfgs,0.4383282364933741
58,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,0.01,10,9,0,lbfgs,0.4316326530612245
408,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,1e-09,10,9,0,lbfgs,0.4316326530612245
62,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,0.01,11,3,0,lbfgs,0.4383282364933741
12,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,0.1,11,3,0,lbfgs,0.4383282364933741
108,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,0.001,10,9,0,lbfgs,0.4316326530612245
8,MLPClassifier,0.44324040965141237,0.4488752556237219,0.006976376913110385,0.1,10,9,0,lbfgs,0.4316326530612245
7,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,0.1,10,7,1,lbfgs,0.4387755102040816
107,MLPClassifier,0.44651009725666596,0.4488752556237219,0.0038998502715140385,0.001,10,7,1,lbfgs,0.4387755102040816
112,MLPClassifier,0.44406027531742137,0.4488752556237219,0.003940027068885729,0.001,11,3,0,lbfgs,0.4383282364933741
56,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,0.01,10,7,0,lbfgs,0.3670756646216769
254,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,1e-06,10,5,0,lbfgs,0.3346938775510204
256,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,1e-06,10,7,0,lbfgs,0.3670756646216769
106,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,0.001,10,7,0,lbfgs,0.3670756646216769
406,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,1e-09,10,7,0,lbfgs,0.3670756646216769
156,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,0.0001,10,7,0,lbfgs,0.3670756646216769
54,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,0.01,10,5,0,lbfgs,0.3346938775510204
154,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,0.0001,10,5,0,lbfgs,0.3346938775510204
104,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,0.001,10,5,0,lbfgs,0.3346938775510204
354,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,1e-08,10,5,0,lbfgs,0.3346938775510204
206,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,1e-05,10,7,0,lbfgs,0.3670756646216769
356,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,1e-08,10,7,0,lbfgs,0.3670756646216769
204,MLPClassifier,0.37908676522897106,0.44852191641182465,0.04520843822170091,1e-05,10,5,0,lbfgs,0.3346938775510204
6,MLPClassifier,0.41175882394007485,0.44852191641182465,0.03163669034767247,0.1,10,7,0,lbfgs,0.3670756646216769
